PyScript,Total Memory(MB),Total Time(s)
bench_plot_lasso_path_89.py,203.5,19.957
bench_plot_lasso_path_90.py,212.816406,18.387
bench_plot_lasso_path_91.py,215.871094,18.292
bench_plot_lasso_path_92.py,219.460938,18.525
bench_plot_lasso_path_93.py,215.613281,19.174
bench_plot_lasso_path_94.py,218.175781,18.897
bench_plot_lasso_path_95.py,228.339844,20.442
bench_plot_lasso_path_96.py,231.570312,21.609
bench_plot_lasso_path_97.py,228.046875,23.468
bench_plot_lasso_path_98.py,231.628906,22.931
bench_plot_lasso_path_99.py,241.394531,23.364
bench_plot_lasso_path_100.py,238.378906,25.676
bench_plot_lasso_path_101.py,248.355469,24.086
bench_plot_lasso_path_102.py,252.605469,26.443
bench_plot_lasso_path_103.py,255.273438,26.357
bench_plot_lasso_path_104.py,259.042969,27.546
bench_plot_lasso_path_105.py,145.136719,5.729
bench_plot_lasso_path_106.py,145.417969,5.629
bench_plot_lasso_path_107.py,145.957031,6.274
bench_plot_lasso_path_108.py,145.941406,6.624
bench_plot_lasso_path_109.py,146.238281,6.999
bench_plot_lasso_path_110.py,146.433594,5.990
bench_plot_lasso_path_111.py,147.808594,4.717
bench_plot_lasso_path_112.py,161.679688,4.868
bench_plot_lasso_path_113.py,153.644531,5.357
bench_plot_lasso_path_114.py,156.0625,5.947
bench_plot_lasso_path_115.py,158.660156,5.963
bench_plot_lasso_path_116.py,160.871094,6.119
bench_plot_lasso_path_117.py,163.761719,6.630
bench_plot_lasso_path_118.py,167.078125,8.048
bench_plot_lasso_path_119.py,169.953125,7.700
bench_plot_lasso_path_120.py,172.988281,8.095
bench_plot_lasso_path_121.py,186.773438,8.788
bench_plot_lasso_path_122.py,180.746094,9.036
bench_plot_lasso_path_123.py,184.132812,9.446
bench_plot_lasso_path_124.py,188.078125,10.454
bench_plot_lasso_path_125.py,191.023438,10.811
bench_plot_lasso_path_126.py,194.5625,11.688
bench_plot_lasso_path_127.py,198.355469,11.432
bench_plot_lasso_path_128.py,191.242188,11.897
bench_plot_lasso_path_129.py,205.789062,12.581
